# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.535182571411132812e+01 2.834760816767811775e-03 4.863139343261718750e+01 0.000000000000000000e+00 9.708086252212524414e-01
1.000000000000000000e+03 5.227031069807708263e-04 3.308767020371305989e-07 8.285521762445569038e-04 0.000000000000000000e+00 7.927480037324130535e-04
2.000000000000000000e+03 7.426086085615679622e-05 7.629383347307339136e-09 2.714592556003481150e-04 0.000000000000000000e+00 3.012325032614171505e-04
3.000000000000000000e+03 1.853311550803482533e-04 1.210386199090862647e-05 2.699881733860820532e-04 0.000000000000000000e+00 3.290194785222411156e-03
4.000000000000000000e+03 8.749125117901712656e-05 3.510087935865158215e-06 2.792265149764716625e-04 0.000000000000000000e+00 1.615406712517142296e-03
5.000000000000000000e+03 5.381744704209268093e-04 1.516075462859589607e-05 4.709513159468770027e-04 0.000000000000000000e+00 2.926201326772570610e-03
6.000000000000000000e+03 2.755469176918268204e-05 3.830567720797262155e-07 1.371728867525234818e-04 0.000000000000000000e+00 6.393453222699463367e-04
7.000000000000000000e+03 2.306134592799935490e-05 6.047265088682252099e-08 1.159612656920216978e-04 0.000000000000000000e+00 4.291972436476498842e-04
8.000000000000000000e+03 1.146256399806588888e-04 4.612481461663264781e-06 1.268079649889841676e-04 0.000000000000000000e+00 1.474108779802918434e-03
9.000000000000000000e+03 3.060335802729241550e-05 2.790823714349244256e-07 1.231293135788291693e-04 0.000000000000000000e+00 4.726744082290679216e-04
1.000000000000000000e+04 1.031097417580895126e-05 3.216554134155558131e-09 7.600363460369408131e-05 0.000000000000000000e+00 1.965252013178542256e-04
